what,kind,bundleId,bundleVersion,description,time
error,log,,,"Error logged from Debug Core: ",1458322504399
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458322512487
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458322613887
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1458322615981
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1458322617364
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458322634769
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458322640097
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458322643450
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458322727033
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458322732106
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458322737368
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1458322739794
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458322746098
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458322747186
error,log,,,"Error logged from Debug Core: ",1458322747534
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458322750309
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458322769602
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458322772369
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458324551301
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1458324574512
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1458324574848
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1458324575025
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1458324575204
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458324642089
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458324643642
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458324644879
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458324649714
error,log,,,"The program file specified in the launch configuration does not exist",1458324650423
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458324650762
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458324654042
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.cdt.internal.ui.text.correction.CSelectRulerAction",1458324684629
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1458324686741
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1458324687806
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.cdt.internal.ui.text.correction.CSelectRulerAction",1458324689726
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.cdt.internal.ui.text.correction.CSelectRulerAction",1458324690193
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1458324701057
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1458324701357
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458324786419
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458324787691
error,log,,,"Error logged from Debug Core: ",1458324788821
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.buildAll",1458324801440
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1458324802460
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1458324803476
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1458324804374
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1458324804675
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1458324804861
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1458324805057
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1458324805228
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1458324805507
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1458324805701
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1458324806035
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458324809431
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458324810912
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458324811549
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458324813463
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1458324832897
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1458324836653
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458324846115
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458324847153
error,log,,,"Error logged from Debug Core: ",1458324847772
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458324850654
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458324875563
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458324897127
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458324899691
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458324900945
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458324902336
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458324908580
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458324909621
error,log,,,"Error logged from Debug Core: ",1458324910496
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458324912711
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458327049336
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1458327106593
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1458327107088
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1458327107114
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1458327107143
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1458327107174
